IncidntNum,X_pr,Y_pr,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Location,X,Y,geometry,DateTime,Hour
120736917,6008213.038997931,2104912.4102929076,CAR THEFT,STOLEN AUTOMOBILE,Thursday,2012-09-13,00:00:00,MISSION,NONE,2300 Block of FOLSOM ST,-122.414673423,37.7601523835,POINT (6008213.038997931 2104912.4102929076),2012-09-13,0
120737153,6000221.287399434,2108397.3230778803,CAR THEFT,STOLEN AUTOMOBILE,Thursday,2012-09-13,00:00:00,PARK,NONE,800 Block of BUENAVISTAWEST AV,-122.442563227,37.7692688391,POINT (6000221.287399434 2108397.3230778803),2012-09-13,0
120737313,6005889.999928085,2111393.00003601,CAR THEFT,STOLEN AUTOMOBILE,Saturday,2012-09-08,00:00:00,NORTHERN,NONE,GOUGH ST / GROVE ST,-122.423168379,37.7778157445,POINT (6005889.999928085 2111393.00003601),2012-09-08,0
120739535,6010961.957222717,2110213.121717153,CAR THEFT,STOLEN TRUCK,Friday,2012-09-14,00:00:00,SOUTHERN,NONE,400 Block of 7TH ST,-122.405539507,37.7748609931,POINT (6010961.957222717 2110213.121717153),2012-09-14,0
120740112,6017403.203801558,2095799.7072171003,CAR THEFT,STOLEN AUTOMOBILE,Saturday,2012-09-15,00:00:00,BAYVIEW,NONE,0 Block of CASHMERE ST,-122.382254709,37.7356428225,POINT (6017403.203801558 2095799.7072171003),2012-09-15,0
120740463,5999036.590261701,2108458.9916184535,CAR THEFT,STOLEN MOTORCYCLE,Friday,2012-09-14,00:00:00,PARK,NONE,600 Block of ASHBURY ST,-122.446665456,37.7693705637,POINT (5999036.590261701 2108458.9916184535),2012-09-14,0
120740510,5997502.609136346,2098018.116912555,CAR THEFT,STOLEN AUTOMOBILE,Friday,2012-09-14,00:00:00,INGLESIDE,NONE,700 Block of MYRA WY,-122.451218319,37.7406147821,POINT (5997502.609136346 2098018.116912555),2012-09-14,0
120740639,5983862.49343139,2109838.3092272277,CAR THEFT,STOLEN AUTOMOBILE,Friday,2012-09-14,00:00:00,RICHMOND,NONE,800 Block of 39TH AV,-122.499253072,37.7722793079,POINT (5983862.49343139 2109838.3092272277),2012-09-14,0
120741176,5998769.9998677205,2094379.9999868977,CAR THEFT,STOLEN AUTOMOBILE,Friday,2012-09-14,00:00:00,INGLESIDE,NONE,HEARST AV / EDNA ST,-122.446574501,37.7306978621,POINT (5998769.9998677205 2094379.9999868977),2012-09-14,0
120705097,6004469.437030643,2091884.9708604878,CAR THEFT,STOLEN TRUCK,Wednesday,2012-08-29,00:00:00,INGLESIDE,NONE,200 Block of ATHENS ST,-122.426693049,37.7241709716,POINT (6004469.437030643 2091884.9708604878),2012-08-29,0
120709077,6008739.535197609,2093906.3806219213,CAR THEFT,STOLEN MOTORCYCLE,Tuesday,2012-09-04,00:00:00,INGLESIDE,NONE,400 Block of BOWDOIN ST,-122.412074691,37.7299618268,POINT (6008739.535197609 2093906.3806219213),2012-09-04,0
120709970,6007605.202385918,2119163.908615609,CAR THEFT,STOLEN TRUCK,Tuesday,2012-09-04,00:00:00,CENTRAL,NONE,1100 Block of UNION ST,-122.417785845,37.7992493999,POINT (6007605.202385918 2119163.908615609),2012-09-04,0
120710240,6012158.326260922,2095118.4297707295,CAR THEFT,STOLEN AUTOMOBILE,Wednesday,2012-09-05,00:00:00,BAYVIEW,NONE,0 Block of SANTAFE AV,-122.400340544,37.7334810909,POINT (6012158.326260922 2095118.4297707295),2012-09-05,0
120712070,6013195.00009594,2105674.000000832,CAR THEFT,STOLEN AUTOMOBILE,Wednesday,2012-09-05,00:00:00,BAYVIEW,NONE,18TH ST / CONNECTICUT ST,-122.397496481,37.7625221888,POINT (6013195.00009594 2105674.000000832),2012-09-05,0
120712199,6009562.772939771,2113298.713843077,CAR THEFT,STOLEN AUTOMOBILE,Wednesday,2012-09-05,00:00:00,TENDERLOIN,NONE,0 Block of TURK ST,-122.41059754,37.7832549645,POINT (6009562.772939771 2113298.713843077),2012-09-05,0
